"","reg","name","slope1","peak","cum","pop_density_km","pop_white_perc","unemploy_perc","address_garden_perc","green_km_pp","urban_km_pp","frag","ln","lt","meantempperiod","meanrainperiod","r2","meantempperiod2","meanrainperiod2","av_garden_m","meantempperiod_total","meanrainperiod_total","pval","slope2","meanrelpark1","meanrelmob1","meanrelnotpark1","meanrelpark2","meanrelmob2","meanrelnotpark2","parkpref1","parkpref2","ihsslope1","ihsslope2","meanrelparktotal","meanrelmobtotal","meanrelnotparktotal","parkpreftotal"
"1","South East","Aylesbury Vale",0.04022694,18,390,2.13e-05,88.02083333,2.7,88,4.41e-05,0.001329559,5.32125,-0.87746,51.90037918,7.47619047619048,0.26047619047619,0.515000035926683,10.6857142857143,0.635238095238095,418.7,9.61587301587302,0.51031746031746,0.00265287401156179,-0.015887,-2.4139748076919,-23.2415331823205,-27.4070448572462,16.8278648660913,-22.0321324238747,-29.8041318818679,24.9930700495543,46.6319967479591,2.10020200591602,-1.24297909037572,10.1084922815956,-22.454462847459,-28.9670538732699,39.0755461548654
"2","London","Barking and Dagenham",0.065910673,22,491,0.000580185,36.36363636,5.7,85,0.006089586,0.000814124,3.12125,0.12950601,51.54552078,7.29130434782609,0.860869565217391,0.658203878657443,10.2755102040816,0.552448979591837,171,9.32222222222222,0.650972222222222,2.90334112337789e-05,-0.02709,1.43639681075619,-9.71722662812268,-11.9479513158985,0.149117223587349,-24.3451751386259,-29.2440336110686,13.3843481266547,29.3931508346559,2.58456820034642,-1.72217310745263,0.542452653000052,-19.875524204861,-23.9591195764332,24.5015722294333
"3","London","Barnet",0.085191961,65,1272,0.000442731,49.35064935,4.5,80,0.00187568,0.000587653,4.3675,-0.21821,51.61108017,7.1,0.903333333333333,0.782797895991177,9.87959183673469,0.58469387755102,303.7,8.96575342465753,0.689452054794521,3.02811291489071e-08,-0.030621,17.461746013338,-15.1537404427365,-21.6768377339514,18.2432499682685,-31.4947714095367,-41.4423756850978,39.1385837472894,59.6856256533663,2.83889613085569,-1.83790339749133,17.9863171611681,-26.1223776670271,-34.9441166326661,52.9304337938342
"4","North West","Barrow-in-Furness",0.064319465,53,540,8.68e-05,95.52238806,4.7,94,0.000234819,0.000464455,3.784375,-3.19975996,54.15737152,6.93333333333333,0.56,0.544943466184749,10.6032258064516,0.737096774193548,327.1,9.12115384615385,0.665576923076923,0.000500290467681787,-0.031525,-13.3515228409522,-22.0229610980251,-23.7572487494397,-8.3984741203536,-32.6790182743363,-37.5351271051329,10.4057259084875,29.1366529847793,2.56041337705808,-1.86559889490257,-10.3987437959799,-28.3756105685183,-31.970983923026,21.5722401270461
"5","South East","Basingstoke and Deane",0.052619512,33,677,2.78e-05,83.52272727,2.8,92,9.19e-05,0.002433412,5.695625,-1.22020996,51.2593689,6.75555555555556,0.451111111111111,0.50816810765838,10.9254901960784,0.536470588235294,424.1,9.83768115942029,0.514202898550725,0.0181178921805322,-0.01863,-25.9234414343377,-22.2230652639815,-21.4829900299102,-5.07655655946824,-24.5451478248877,-28.4388660779716,-4.44045140442745,23.3623095185034,2.36255833782575,-1.38063319331189,-10.5148743529124,-23.9393871568252,-26.6242897176078,16.1094153646953
"6","London","Bexley",0.042798676,40,704,0.000403879,74.28571429,4.2,89,0.00154988,0.00058512,4.36375,0.146212,51.45820999,7.22592592592593,0.733333333333333,0.647957858794859,10.7021739130435,0.588478260869565,240.2,9.41643835616438,0.642054794520548,2.59867256447904e-05,-0.026066,-11.0621779171894,-21.584033332533,-23.6884044156017,-2.11572602742596,-29.5066783101491,-34.9848687666937,12.6262264984124,32.8691427392677,2.16044634687185,-1.6861097898704,-5.42468768528366,-26.5763849622637,-30.8067244176597,25.382036732376
"7","West Midlands","Birmingham",0.06126077,132,3356,0.000421803,51.5070922,8.2,86,0.003382544,0.000502401,3.77625,-1.88141,52.48403931,7.47272727272727,0.935454545454545,0.856154995798644,11.5765995989214,0.24074696039609,229.1,10.777615606211,0.375999764566763,1.29846698214824e-05,-0.016003,31.1980557689771,-9.66965031974858,-17.8431915374937,61.1738489639307,-16.231608532247,-31.7127000314825,49.0412473064708,92.8865489954133,2.51229770957655,-1.24914231686857,55.07258132248,-14.8959887190836,-28.8897027273963,83.9622840498763
"8","North West","Blackburn with Darwen",0.128065361,17,393,0.000107859,66.21621622,5.5,95,0.00012515,0.000935161,3.555,-2.46359992,53.70080185,6.46428571428571,0.135714285714286,0.649019979792657,10.4644444444444,0.600666666666667,172.6,9.51525423728814,0.490338983050847,2.39124405547412e-06,-0.017312,-21.0389429225611,-31.7442568400022,-33.8853196234904,7.75527479169951,-30.4218053975328,-38.0572214353793,12.8463767009293,45.8124962270788,3.24462370216464,-1.31653241476273,0.922748554417328,-30.7356074347289,-37.0672786325582,37.9900271869755
"9","North West","Blackpool",0.070173844,22,660,0.000401913,95,5.6,91,0.003135355,0.000700884,3.450625,-3.02284002,53.8216095,8.00952380952381,0.109047619047619,0.528990571308896,11.9414613450999,0.517051976890983,150,10.8962627596936,0.408595122274393,5.07837061815067e-05,-0.014771,-27.1674974126059,-34.6102755671333,-36.0988311980388,17.8031398819133,-24.4886104513068,-32.9469605179508,8.93133378543288,50.7501003998641,2.64657629948096,-1.1819930851272,5.84891984159809,-27.1791796593113,-33.7847995594932,39.6337194010913
"10","North West","Bolton",0.075804095,45,1025,0.000202207,77.11267606,5.8,91,0.00039104,0.000566108,5.3775,-2.47952008,53.58449173,7.94,0.486666666666667,0.686543920843609,11.6792590108102,0.430425877193147,185,10.3277196093126,0.450753873388395,2.75008843331039e-10,-0.030097,-9.26541511787757,-30.4711299659509,-34.7122729355655,23.6515373476101,-28.0087192069816,-38.3407705179,25.446857817688,61.9923078655101,2.72303693688866,-1.82150941364349,11.7538436853856,-28.8987471921512,-37.0292653676586,48.7831090530443
