date,total_rainfall,mean_temperature
01/01/2020,0,5.2
01/02/2020,5.74,9.1
01/03/2020,0.36,5.4
01/04/2020,0,4.9
01/05/2020,0.41,9.3
10/01/2020,0,5.8
10/02/2020,4.52,5.9
10/03/2020,0.24,9.5
10/04/2020,0.01,14.1
10/05/2020,0.34,10.7
11/01/2020,6.45,6.6
11/02/2020,0.2,4.4
11/03/2020,1.79,8.9
11/04/2020,0.17,14.7
11/05/2020,0.06,6.6
12/01/2020,0.46,8.2
12/02/2020,8.27,4.7
12/03/2020,0.66,6
12/04/2020,1.4,13.6
12/05/2020,0,6.3
13/01/2020,3.57,6.5
13/02/2020,0.2,5.9
13/03/2020,2.03,7.6
13/04/2020,0,7.6
13/05/2020,0.1,7.5
14/01/2020,8.91,8.6
14/02/2020,1.93,5.9
14/03/2020,1.61,8.4
14/04/2020,0,5.8
14/05/2020,0,6.3
15/01/2020,0.21,7.1
15/02/2020,20.03,8.3
15/03/2020,2.39,8.3
15/04/2020,0,8.4
15/05/2020,0,8.2
16/01/2020,2.19,8
16/02/2020,5.25,8.2
16/03/2020,0.03,6.8
16/04/2020,0,10.7
16/05/2020,0,10.5
17/01/2020,1.42,6.6
17/02/2020,0.69,7
17/03/2020,0.62,9.2
17/04/2020,2.64,10.6
17/05/2020,0.04,11.9
18/01/2020,0.02,4.1
18/02/2020,2.54,5.8
18/03/2020,2.92,9.2
18/04/2020,0.49,8.2
18/05/2020,0.04,13.4
19/01/2020,0.04,2.1
19/02/2020,1.91,6
19/03/2020,0.26,5.6
19/04/2020,0,10.5
19/05/2020,0,16.2
02/01/2020,2.62,7
02/02/2020,0.47,8.2
02/03/2020,0.17,4.8
02/04/2020,0,8
02/05/2020,0.11,9.7
20/01/2020,0.06,2.7
20/02/2020,4.19,6.7
20/03/2020,0.21,6.7
20/04/2020,0,10
20/05/2020,0,16.8
21/01/2020,0.17,3.4
21/02/2020,1.06,6.7
21/03/2020,0,5.9
21/04/2020,0,11.6
21/05/2020,0.29,15.9
22/01/2020,0.38,4.7
22/02/2020,10.27,8.4
22/03/2020,0,5.8
22/04/2020,0,12.1
22/05/2020,0,16
23/01/2020,0.19,6.3
23/02/2020,5.33,8.6
23/03/2020,0,6.2
23/04/2020,0,12.8
23/05/2020,0.08,13.1
24/01/2020,0.06,5.9
24/02/2020,2.45,7.2
24/03/2020,0,8.6
24/04/2020,0,12.3
24/05/2020,0,14.8
25/01/2020,0.14,6.1
25/02/2020,1.95,5
25/03/2020,0,8.1
25/04/2020,0,11
25/05/2020,0,14.3
26/01/2020,3.13,7
26/02/2020,2.66,4.1
26/03/2020,0.02,7.3
26/04/2020,0.07,10.9
26/05/2020,0,15.8
27/01/2020,2.15,5.9
27/02/2020,1.25,3.8
27/03/2020,0.01,6.3
27/04/2020,1.27,11.3
27/05/2020,0,16
28/01/2020,0.07,4.1
28/02/2020,11.64,5.7
28/03/2020,0.34,6.7
28/04/2020,7.88,8
28/05/2020,0,15.9
29/01/2020,0.05,5.6
29/02/2020,1.61,5.1
29/03/2020,0.31,4.6
29/04/2020,3.04,9.2
29/05/2020,0,15.8
03/01/2020,0.19,6.8
03/02/2020,0.64,7.7
03/03/2020,0.39,4.8
03/04/2020,0,8.2
03/05/2020,0.3,9.9
30/01/2020,0.03,7.6
30/03/2020,1.01,5.1
30/04/2020,4.67,8.7
30/05/2020,0,15.7
31/01/2020,0.36,9.4
31/03/2020,0,6.3
31/05/2020,0,16.4
04/01/2020,0,6
04/02/2020,0.07,6.2
04/03/2020,0.94,4.2
04/04/2020,0,8.8
04/05/2020,0,11.4
05/01/2020,0,6.7
05/02/2020,0,4.6
05/03/2020,0.49,4.5
05/04/2020,0.38,12.8
05/05/2020,0,9.7
06/01/2020,0.24,7.7
06/02/2020,0.24,3.8
06/03/2020,0.01,4
06/04/2020,0.01,12.3
06/05/2020,0,10
07/01/2020,0.49,8.6
07/02/2020,0.53,4.8
07/03/2020,2.1,6.4
07/04/2020,0,9.6
07/05/2020,0,12.5
08/01/2020,10.86,9.4
08/02/2020,2.36,6.4
08/03/2020,0.41,8.9
08/04/2020,0,13
08/05/2020,0.13,15.2
09/01/2020,3.92,8.1
09/02/2020,11.72,8.7
09/03/2020,4.94,8
09/04/2020,0,13
09/05/2020,3.51,15.4
del,0,0
